player_id,team_id,team_abbreviation,drives,drive_fgm,drive_fga,drive_fg_pct,drive_ftm,drive_fta,drive_ft_pct,drive_pts,drive_pts_pct,drive_passes,drive_passes_pct,drive_ast,drive_ast_pct,drive_tov,drive_tov_pct,drive_pf,drive_pf_pct,season
203473,1610612753,ORL,3,2,2,1.0,0,0,0.0,4,1.333,1,0.333,0,0.0,0,0.0,0,0.0,2013-14
202354,1610612737,ATL,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
203197,1610612762,UTA,240,33,96,0.344,4,4,1.0,70,0.292,92,0.383,29,0.121,16,0.067,2,0.008,2013-14
203079,1610612739,CLE,696,113,267,0.423,73,108,0.676,308,0.443,249,0.358,60,0.086,54,0.078,55,0.079,2013-14
202091,1610612756,PHX,16,1,2,0.5,6,8,0.75,8,0.5,6,0.375,3,0.188,1,0.063,4,0.25,2013-14
1717,1610612742,DAL,75,22,44,0.5,16,18,0.889,62,0.827,13,0.173,4,0.053,4,0.053,10,0.133,2013-14
202388,1610612754,IND,93,16,43,0.372,1,2,0.5,33,0.355,31,0.333,10,0.108,7,0.075,1,0.011,2013-14
202700,1610612745,HOU,34,10,18,0.556,3,6,0.5,23,0.676,6,0.176,2,0.059,2,0.059,3,0.088,2013-14
2748,1610612757,POR,98,11,24,0.458,7,10,0.7,30,0.306,46,0.469,13,0.133,7,0.071,5,0.051,2013-14
203117,1610612753,ORL,44,10,28,0.357,4,4,1.0,24,0.545,7,0.159,3,0.068,2,0.045,2,0.045,2013-14
203110,1610612744,GSW,140,17,58,0.293,16,26,0.615,50,0.357,37,0.264,11,0.079,15,0.107,14,0.1,2013-14
2400,1610612764,WAS,28,6,14,0.429,4,6,0.667,16,0.571,7,0.25,0,0.0,4,0.143,3,0.107,2013-14
202779,1610612761,TOR,45,3,11,0.273,2,2,1.0,9,0.2,27,0.6,3,0.067,3,0.067,1,0.022,2013-14
2730,1610612745,HOU,25,8,15,0.533,6,6,1.0,23,0.92,5,0.2,1,0.04,1,0.04,3,0.12,2013-14
2548,1610612748,MIA,517,103,196,0.526,37,56,0.661,253,0.489,178,0.344,52,0.101,52,0.101,30,0.058,2013-14
202734,1610612753,ORL,246,51,128,0.398,12,14,0.857,114,0.463,74,0.301,13,0.053,16,0.065,7,0.028,2013-14
201947,1610612752,NYK,79,20,42,0.476,8,18,0.444,50,0.633,19,0.241,2,0.025,6,0.076,9,0.114,2013-14
2248,1610612757,POR,15,1,2,0.5,2,2,1.0,4,0.267,5,0.333,5,0.333,2,0.133,1,0.067,2013-14
202334,1610612763,MEM,9,2,3,0.667,0,0,0.0,5,0.556,3,0.333,0,0.0,2,0.222,0,0.0,2013-14
202327,1610612749,MIL,17,3,11,0.273,1,2,0.5,7,0.412,2,0.118,1,0.059,1,0.059,1,0.059,2013-14
203548,1610612747,LAL,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
202343,1610612755,PHI,180,30,75,0.4,25,34,0.735,87,0.483,52,0.289,13,0.072,18,0.1,17,0.094,2013-14
1882,1610612737,ATL,45,14,19,0.737,8,12,0.667,36,0.8,13,0.289,2,0.044,5,0.111,6,0.133,2013-14
202683,1610612762,UTA,66,14,30,0.467,8,10,0.8,38,0.576,19,0.288,1,0.015,8,0.121,5,0.076,2013-14
202339,1610612756,PHX,499,89,196,0.454,69,88,0.784,254,0.509,150,0.301,51,0.102,45,0.09,45,0.09,2013-14
201569,1610612740,NOP,461,101,242,0.417,49,62,0.79,257,0.557,108,0.234,33,0.072,31,0.067,32,0.069,2013-14
201953,1610612755,PHI,80,6,34,0.176,5,10,0.5,17,0.213,27,0.338,5,0.063,8,0.1,5,0.063,2013-14
203513,1610612741,CHI,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
101141,1610612749,MIL,94,11,44,0.25,22,26,0.846,44,0.468,22,0.234,4,0.043,9,0.096,13,0.138,2013-14
203095,1610612743,DEN,329,63,144,0.438,34,44,0.773,165,0.502,108,0.328,24,0.073,25,0.076,22,0.067,2013-14
202323,1610612754,IND,679,156,364,0.429,75,97,0.773,395,0.582,154,0.227,43,0.063,48,0.071,51,0.075,2013-14
101128,1610612745,HOU,121,26,48,0.542,0,2,0.0,52,0.43,52,0.43,6,0.05,9,0.074,1,0.008,2013-14
203539,1610612742,DAL,124,14,41,0.341,2,2,1.0,28,0.226,47,0.379,23,0.185,9,0.073,1,0.008,2013-14
202066,1610612764,WAS,59,8,24,0.333,4,6,0.667,21,0.356,21,0.356,5,0.085,3,0.051,3,0.051,2013-14
202390,1610612766,CHA,200,46,103,0.447,31,32,0.969,128,0.64,55,0.275,10,0.05,15,0.075,16,0.08,2013-14
201588,1610612754,IND,335,59,127,0.465,44,58,0.759,169,0.504,122,0.364,39,0.116,11,0.033,29,0.087,2013-14
101123,1610612756,PHX,282,65,127,0.512,35,44,0.795,166,0.589,83,0.294,21,0.074,25,0.089,22,0.078,2013-14
201945,1610612766,CHA,375,65,151,0.43,73,94,0.777,208,0.555,118,0.315,30,0.08,19,0.051,47,0.125,2013-14
2222,1610612738,BOS,123,14,32,0.438,12,22,0.545,40,0.325,50,0.407,14,0.114,13,0.106,11,0.089,2013-14
203507,1610612749,MIL,255,28,84,0.333,38,58,0.655,95,0.373,69,0.271,26,0.102,35,0.137,30,0.118,2013-14
203540,1610612765,DET,13,2,4,0.5,0,0,0.0,4,0.308,6,0.462,0,0.0,3,0.231,0,0.0,2013-14
201175,1610612746,LAC,81,14,44,0.318,9,16,0.563,38,0.469,20,0.247,1,0.012,7,0.086,8,0.099,2013-14
203318,1610612764,WAS,17,3,7,0.429,0,0,0.0,6,0.353,8,0.471,0,0.0,2,0.118,0,0.0,2013-14
201609,1610612756,PHX,1099,187,377,0.496,95,124,0.766,482,0.439,459,0.418,112,0.102,63,0.057,64,0.058,2013-14
202330,1610612762,UTA,664,82,202,0.406,76,98,0.776,257,0.387,254,0.383,74,0.111,52,0.078,50,0.075,2013-14
203476,1610612750,MIN,16,1,4,0.25,6,8,0.75,8,0.5,5,0.313,0,0.0,2,0.125,4,0.25,2013-14
202328,1610612765,DET,272,86,172,0.5,49,62,0.79,226,0.831,40,0.147,5,0.018,19,0.07,32,0.118,2013-14
201141,1610612748,MIA,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
202962,1610612745,HOU,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
201880,1610612740,NOP,15,1,6,0.167,1,2,0.5,3,0.2,8,0.533,0,0.0,0,0.0,1,0.067,2013-14
202349,1610612761,TOR,503,90,214,0.421,27,32,0.844,209,0.416,180,0.358,50,0.099,37,0.074,17,0.034,2013-14
202970,1610612737,ATL,18,5,9,0.556,0,0,0.0,10,0.556,6,0.333,0,0.0,2,0.111,0,0.0,2013-14
202380,1610612758,SAC,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
203084,1610612744,GSW,303,57,159,0.358,51,70,0.729,169,0.558,63,0.208,24,0.079,18,0.059,35,0.116,2013-14
201934,1610612760,OKC,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2013-14
2045,1610612746,LAC,28,3,14,0.214,2,2,1.0,8,0.286,11,0.393,1,0.036,1,0.036,1,0.036,2013-14
203156,1610612755,PHI,20,6,13,0.462,2,4,0.5,15,0.75,5,0.25,0,0.0,0,0.0,2,0.1,2013-14
200756,1610612744,GSW,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
203138,1610612755,PHI,147,24,45,0.533,10,16,0.625,61,0.415,65,0.442,11,0.075,16,0.109,8,0.054,2013-14
203546,1610612762,UTA,30,7,14,0.5,0,0,0.0,14,0.467,10,0.333,3,0.1,2,0.067,0,0.0,2013-14
101133,1610612754,IND,9,0,4,0.0,2,2,1.0,2,0.222,2,0.222,1,0.111,1,0.111,1,0.111,2013-14
202697,1610612752,NYK,161,24,56,0.429,13,18,0.722,61,0.379,57,0.354,14,0.087,18,0.112,10,0.062,2013-14
203477,1610612745,HOU,53,8,18,0.444,8,12,0.667,25,0.472,19,0.358,3,0.057,6,0.113,6,0.113,2013-14
202738,1610612758,SAC,972,177,361,0.49,96,114,0.842,470,0.484,354,0.364,102,0.105,68,0.07,59,0.061,2013-14
202397,1610612756,PHX,341,57,141,0.404,8,14,0.571,122,0.358,137,0.402,39,0.114,12,0.035,7,0.021,2013-14
200826,1610612750,MIN,595,104,263,0.395,40,53,0.755,251,0.422,190,0.319,61,0.103,38,0.064,27,0.045,2013-14
201581,1610612743,DEN,71,13,36,0.361,8,22,0.364,35,0.493,12,0.169,3,0.042,7,0.099,11,0.155,2013-14
200755,1610612746,LAC,120,16,42,0.381,23,24,0.958,55,0.458,43,0.358,13,0.108,9,0.075,12,0.1,2013-14
2747,1610612752,NYK,371,66,137,0.482,34,52,0.654,170,0.458,127,0.342,51,0.137,22,0.059,26,0.07,2013-14
201580,1610612743,DEN,4,0,1,0.0,0,0,0.0,0,0.0,1,0.25,1,0.25,1,0.25,0,0.0,2013-14
203109,1610612742,DAL,59,8,19,0.421,12,14,0.857,30,0.508,16,0.271,7,0.119,7,0.119,7,0.119,2013-14
203479,1610612763,MEM,3,1,3,0.333,0,0,0.0,2,0.667,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
2224,1610612762,UTA,15,1,3,0.333,0,0,0.0,2,0.133,7,0.467,4,0.267,1,0.067,0,0.0,2013-14
2037,1610612746,LAC,310,66,179,0.369,54,64,0.844,197,0.635,64,0.206,24,0.077,10,0.032,32,0.103,2013-14
2749,1610612753,ORL,746,86,192,0.448,38,44,0.864,215,0.288,343,0.46,122,0.164,48,0.064,23,0.031,2013-14
202341,1610612755,PHI,257,53,110,0.482,15,20,0.75,122,0.475,97,0.377,16,0.062,20,0.078,10,0.039,2013-14
201935,1610612745,HOU,768,117,263,0.445,170,202,0.842,416,0.542,228,0.297,99,0.129,62,0.081,103,0.134,2013-14
201949,1610612763,MEM,215,44,81,0.543,38,45,0.844,129,0.6,63,0.293,19,0.088,20,0.093,24,0.112,2013-14
2592,1610612748,MIA,5,1,2,0.5,0,0,0.0,2,0.4,1,0.2,1,0.2,1,0.2,0,0.0,2013-14
203263,1610612755,PHI,16,1,7,0.143,3,4,0.75,6,0.375,5,0.313,0,0.0,2,0.125,2,0.125,2013-14
203480,1610612740,NOP,2,0,1,0.0,0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,2013-14
202686,1610612743,DEN,16,1,5,0.2,3,8,0.375,5,0.313,7,0.438,0,0.0,0,0.0,4,0.25,2013-14
2457,1610612766,CHA,41,2,5,0.4,0,0,0.0,4,0.098,19,0.463,8,0.195,7,0.171,1,0.024,2013-14
203099,1610612758,SAC,12,0,2,0.0,11,12,0.917,11,0.917,3,0.25,0,0.0,1,0.083,6,0.5,2013-14
201162,1610612746,LAC,114,14,32,0.438,3,7,0.429,31,0.272,47,0.412,18,0.158,10,0.088,4,0.035,2013-14
203096,1610612738,BOS,114,28,78,0.359,9,14,0.643,65,0.57,17,0.149,3,0.026,7,0.061,7,0.061,2013-14
